"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"180",0.28,0.821,8,-2.864,0,0.111,0.167,0,0.139,0.254,181.444,"audio_features","4apiNNK0jp9uqn3JDG9My1","spotify:track:4apiNNK0jp9uqn3JDG9My1","https://api.spotify.com/v1/tracks/4apiNNK0jp9uqn3JDG9My1","https://api.spotify.com/v1/audio-analysis/4apiNNK0jp9uqn3JDG9My1",256163,3,"US"
"181",0.575,0.619,0,-6.663,1,0.322,0.0208,0,0.103,0.296,110.109,"audio_features","45ttRl8uNtJkop7r9dmP4e","spotify:track:45ttRl8uNtJkop7r9dmP4e","https://api.spotify.com/v1/tracks/45ttRl8uNtJkop7r9dmP4e","https://api.spotify.com/v1/audio-analysis/45ttRl8uNtJkop7r9dmP4e",212204,5,"US"
"182",0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,"audio_features","5aXgz1oKK8Q9z9xvTmSnrO","spotify:track:5aXgz1oKK8Q9z9xvTmSnrO","https://api.spotify.com/v1/tracks/5aXgz1oKK8Q9z9xvTmSnrO","https://api.spotify.com/v1/audio-analysis/5aXgz1oKK8Q9z9xvTmSnrO",215364,4,"US"
"183",0.85,0.516,0,-7.664,0,0.0714,0.763,0,0.0896,0.874,108.963,"audio_features","2ktxr00GpTtbMNeBjNeY8D","spotify:track:2ktxr00GpTtbMNeBjNeY8D","https://api.spotify.com/v1/tracks/2ktxr00GpTtbMNeBjNeY8D","https://api.spotify.com/v1/audio-analysis/2ktxr00GpTtbMNeBjNeY8D",158532,4,"US"
"184",0.905,0.962,4,-3.197,1,0.0856,0.0299,0,0.0272,0.906,129.969,"audio_features","5oH4DQAuu1J1800RzUsBWa","spotify:track:5oH4DQAuu1J1800RzUsBWa","https://api.spotify.com/v1/tracks/5oH4DQAuu1J1800RzUsBWa","https://api.spotify.com/v1/audio-analysis/5oH4DQAuu1J1800RzUsBWa",174647,4,"KR"
"185",0.722,0.932,11,-3.294,0,0.29,0.00453,0,0.0817,0.731,132.087,"audio_features","5c58c6sKc2JK3o75ZBSeL1","spotify:track:5c58c6sKc2JK3o75ZBSeL1","https://api.spotify.com/v1/tracks/5c58c6sKc2JK3o75ZBSeL1","https://api.spotify.com/v1/audio-analysis/5c58c6sKc2JK3o75ZBSeL1",220413,4,"KR"
"186",0.762,0.869,6,-3.287,0,0.13,0.0793,0,0.137,0.747,132.05,"audio_features","1eMVXXpNPEUdFRy5ZH7FpM","spotify:track:1eMVXXpNPEUdFRy5ZH7FpM","https://api.spotify.com/v1/tracks/1eMVXXpNPEUdFRy5ZH7FpM","https://api.spotify.com/v1/audio-analysis/1eMVXXpNPEUdFRy5ZH7FpM",230635,4,"KR"
"187",0.878,0.719,3,-3.322,0,0.114,0.00236,0,0.0519,0.557,126,"audio_features","7c4YDH3Pi2tMSbhxYyaxtk","spotify:track:7c4YDH3Pi2tMSbhxYyaxtk","https://api.spotify.com/v1/tracks/7c4YDH3Pi2tMSbhxYyaxtk","https://api.spotify.com/v1/audio-analysis/7c4YDH3Pi2tMSbhxYyaxtk",194547,4,"KR"
"188",0.836,0.728,0,-3.449,0,0.0563,0.0079,2.94e-05,0.0563,0.444,131.969,"audio_features","25YgkxnU4UzEG4ORni69Rw","spotify:track:25YgkxnU4UzEG4ORni69Rw","https://api.spotify.com/v1/tracks/25YgkxnU4UzEG4ORni69Rw","https://api.spotify.com/v1/audio-analysis/25YgkxnU4UzEG4ORni69Rw",190234,4,"KR"
"189",0.919,0.656,1,-4.247,1,0.0795,0.00815,0,0.0797,0.465,148.107,"audio_features","5FiQiVebbjWgrV9sMFJ9aa","spotify:track:5FiQiVebbjWgrV9sMFJ9aa","https://api.spotify.com/v1/tracks/5FiQiVebbjWgrV9sMFJ9aa","https://api.spotify.com/v1/audio-analysis/5FiQiVebbjWgrV9sMFJ9aa",171723,4,"KR"
