"","href","id","name","type","uri","external_urls.spotify","followers.href","genre","Metric","Value"
"1","https://api.spotify.com/v1/artists/6WnYIHyaTeR8cxmaWX9Rez","6WnYIHyaTeR8cxmaWX9Rez","D'Evil","artist","spotify:artist:6WnYIHyaTeR8cxmaWX9Rez","https://open.spotify.com/artist/6WnYIHyaTeR8cxmaWX9Rez",NA,"Indian-rap","Popularity",48
"2","https://api.spotify.com/v1/artists/6WnYIHyaTeR8cxmaWX9Rez","6WnYIHyaTeR8cxmaWX9Rez","D'Evil","artist","spotify:artist:6WnYIHyaTeR8cxmaWX9Rez","https://open.spotify.com/artist/6WnYIHyaTeR8cxmaWX9Rez",NA,"Indian-rap","Followers (in Thousands)",20.445
"3","https://api.spotify.com/v1/artists/3XbsFoxsYfrJyo9VZrbM16","3XbsFoxsYfrJyo9VZrbM16","Rawal","artist","spotify:artist:3XbsFoxsYfrJyo9VZrbM16","https://open.spotify.com/artist/3XbsFoxsYfrJyo9VZrbM16",NA,"Indian-rap","Popularity",45
"4","https://api.spotify.com/v1/artists/3XbsFoxsYfrJyo9VZrbM16","3XbsFoxsYfrJyo9VZrbM16","Rawal","artist","spotify:artist:3XbsFoxsYfrJyo9VZrbM16","https://open.spotify.com/artist/3XbsFoxsYfrJyo9VZrbM16",NA,"Indian-rap","Followers (in Thousands)",34.241
"5","https://api.spotify.com/v1/artists/1cZXy31snJUWXKwhWRyDgs","1cZXy31snJUWXKwhWRyDgs","Ravator","artist","spotify:artist:1cZXy31snJUWXKwhWRyDgs","https://open.spotify.com/artist/1cZXy31snJUWXKwhWRyDgs",NA,"Indian-rap","Popularity",40
"6","https://api.spotify.com/v1/artists/1cZXy31snJUWXKwhWRyDgs","1cZXy31snJUWXKwhWRyDgs","Ravator","artist","spotify:artist:1cZXy31snJUWXKwhWRyDgs","https://open.spotify.com/artist/1cZXy31snJUWXKwhWRyDgs",NA,"Indian-rap","Followers (in Thousands)",1.868
"7","https://api.spotify.com/v1/artists/1yCVvGnMTuLeNzbXtgAytL","1yCVvGnMTuLeNzbXtgAytL","Rebel 7","artist","spotify:artist:1yCVvGnMTuLeNzbXtgAytL","https://open.spotify.com/artist/1yCVvGnMTuLeNzbXtgAytL",NA,"Indian-rap","Popularity",39
"8","https://api.spotify.com/v1/artists/1yCVvGnMTuLeNzbXtgAytL","1yCVvGnMTuLeNzbXtgAytL","Rebel 7","artist","spotify:artist:1yCVvGnMTuLeNzbXtgAytL","https://open.spotify.com/artist/1yCVvGnMTuLeNzbXtgAytL",NA,"Indian-rap","Followers (in Thousands)",14.952
"9","https://api.spotify.com/v1/artists/4nVa6XlBFlIkF6msW57PHp","4nVa6XlBFlIkF6msW57PHp","Hanumankind","artist","spotify:artist:4nVa6XlBFlIkF6msW57PHp","https://open.spotify.com/artist/4nVa6XlBFlIkF6msW57PHp",NA,"Indian-rap","Popularity",39
"10","https://api.spotify.com/v1/artists/4nVa6XlBFlIkF6msW57PHp","4nVa6XlBFlIkF6msW57PHp","Hanumankind","artist","spotify:artist:4nVa6XlBFlIkF6msW57PHp","https://open.spotify.com/artist/4nVa6XlBFlIkF6msW57PHp",NA,"Indian-rap","Followers (in Thousands)",12.841
