"","id","disc_number","duration_ms.x","explicit","href","is_local","is_playable","name","popularity","preview_url","track_number","type.x","uri.x","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type.y","uri.y","track_href","analysis_url","duration_ms.y","time_signature","genre2","albumpop"
"53","2BcMwX1MPV6ZHP4tUT9uq6",1,242965,TRUE,"https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6",FALSE,TRUE,"Knife Talk (with 21 Savage ft. Project Pat)",84,NA,13,"track","spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","album","https://api.spotify.com/v1/albums/3SpBlxme9WbeQdI9kx7KAV","3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","2021-09-03","day",21,"album","spotify:album:3SpBlxme9WbeQdI9kx7KAV","https://open.spotify.com/album/3SpBlxme9WbeQdI9kx7KAV","USUG12104409","https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6","rap",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,"audio_features","spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6","https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6",242966,4,"rap",94
"54","2bPI4TKM4oTxl2SijUXM2J",1,186538,TRUE,"https://api.spotify.com/v1/tracks/2bPI4TKM4oTxl2SijUXM2J",FALSE,TRUE,"AHHH HA",68,"https://p.scdn.co/mp3-preview/0dd3316c45534805885f13b3ae93b8abcb3a6d09?cid=2c522ebeb84f4aa189ec93288a41d97f",3,"track","spotify:track:2bPI4TKM4oTxl2SijUXM2J","album","https://api.spotify.com/v1/albums/0vRN2oePynCSTspdY9NDsM","0vRN2oePynCSTspdY9NDsM","7220","2022-03-11","day",17,"album","spotify:album:0vRN2oePynCSTspdY9NDsM","https://open.spotify.com/album/0vRN2oePynCSTspdY9NDsM","USQX92200794","https://open.spotify.com/track/2bPI4TKM4oTxl2SijUXM2J","rap",0.676,0.61,1,-9.185,1,0.273,0.000114,1.73e-06,0.191,0.519,156.005,"audio_features","spotify:track:2bPI4TKM4oTxl2SijUXM2J","https://api.spotify.com/v1/tracks/2bPI4TKM4oTxl2SijUXM2J","https://api.spotify.com/v1/audio-analysis/2bPI4TKM4oTxl2SijUXM2J",186538,4,"rap",86
"55","2ccuOtUjIyx3tPcsnpeBzJ",1,214405,FALSE,"https://api.spotify.com/v1/tracks/2ccuOtUjIyx3tPcsnpeBzJ",FALSE,TRUE,"Flower Shops (feat. Morgan Wallen)",75,"https://p.scdn.co/mp3-preview/cfa5440e9cfd7da653fa9343b06896d40ac4b0df?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:2ccuOtUjIyx3tPcsnpeBzJ","single","https://api.spotify.com/v1/albums/5gdgH8d7W2KwkK03Ea0vpi","5gdgH8d7W2KwkK03Ea0vpi","Flower Shops (feat. Morgan Wallen)","2021-12-31","day",1,"album","spotify:album:5gdgH8d7W2KwkK03Ea0vpi","https://open.spotify.com/album/5gdgH8d7W2KwkK03Ea0vpi","QZ22S2100091","https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ","country",0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,"audio_features","spotify:track:2ccuOtUjIyx3tPcsnpeBzJ","https://api.spotify.com/v1/tracks/2ccuOtUjIyx3tPcsnpeBzJ","https://api.spotify.com/v1/audio-analysis/2ccuOtUjIyx3tPcsnpeBzJ",214405,3,"country",NA
"56","2CwG4BXIlGmmYLDmDvwMTH",1,215360,FALSE,"https://api.spotify.com/v1/tracks/2CwG4BXIlGmmYLDmDvwMTH",FALSE,TRUE,"Blame It On You",63,"https://p.scdn.co/mp3-preview/451e63de50a9e89864e86d741106eaa58ae00a29?cid=2c522ebeb84f4aa189ec93288a41d97f",2,"track","spotify:track:2CwG4BXIlGmmYLDmDvwMTH","album","https://api.spotify.com/v1/albums/2f0DzdU6QbWtZqSlN7s1s5","2f0DzdU6QbWtZqSlN7s1s5","9","2019-11-22","day",16,"album","spotify:album:2f0DzdU6QbWtZqSlN7s1s5","https://open.spotify.com/album/2f0DzdU6QbWtZqSlN7s1s5","QMRSZ1901458","https://open.spotify.com/track/2CwG4BXIlGmmYLDmDvwMTH","country",0.484,0.783,2,-5.334,1,0.0308,0.0957,0.000118,0.107,0.594,137.918,"audio_features","spotify:track:2CwG4BXIlGmmYLDmDvwMTH","https://api.spotify.com/v1/tracks/2CwG4BXIlGmmYLDmDvwMTH","https://api.spotify.com/v1/audio-analysis/2CwG4BXIlGmmYLDmDvwMTH",215360,4,"country",72
"57","2d48mamATjby7wgPjdrSOQ",1,223626,FALSE,"https://api.spotify.com/v1/tracks/2d48mamATjby7wgPjdrSOQ",FALSE,TRUE,"Craving You",63,NA,1,"track","spotify:track:2d48mamATjby7wgPjdrSOQ","album","https://api.spotify.com/v1/albums/4w5Jvreahp3yvLqc4vCr9I","4w5Jvreahp3yvLqc4vCr9I","Life Changes","2017-09-08","day",14,"album","spotify:album:4w5Jvreahp3yvLqc4vCr9I","https://open.spotify.com/album/4w5Jvreahp3yvLqc4vCr9I","USLXJ1707356","https://open.spotify.com/track/2d48mamATjby7wgPjdrSOQ","country",0.613,0.839,9,-3.799,0,0.0352,0.000854,0,0.341,0.526,104.975,"audio_features","spotify:track:2d48mamATjby7wgPjdrSOQ","https://api.spotify.com/v1/tracks/2d48mamATjby7wgPjdrSOQ","https://api.spotify.com/v1/audio-analysis/2d48mamATjby7wgPjdrSOQ",223627,4,"country",74
"58","2Dct3GykKZ58hpWRFfe2Qd",1,171692,TRUE,"https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd",FALSE,TRUE,"Heading South",73,"https://p.scdn.co/mp3-preview/8fa314e25e497efed8d9efde7e59d55b26d95ec1?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:2Dct3GykKZ58hpWRFfe2Qd","single","https://api.spotify.com/v1/albums/3Ca58JR3vDDMl5i8QKkWzP","3Ca58JR3vDDMl5i8QKkWzP","Heading South","2019-09-30","day",1,"album","spotify:album:3Ca58JR3vDDMl5i8QKkWzP","https://open.spotify.com/album/3Ca58JR3vDDMl5i8QKkWzP","TCAEL1937212","https://open.spotify.com/track/2Dct3GykKZ58hpWRFfe2Qd","country",0.68,0.246,4,-14.112,1,0.058,0.783,0,0.106,0.388,110.23,"audio_features","spotify:track:2Dct3GykKZ58hpWRFfe2Qd","https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd","https://api.spotify.com/v1/audio-analysis/2Dct3GykKZ58hpWRFfe2Qd",171693,4,"country",NA
"59","2eAZfqOm4EnOF9VvN50Tyc",1,221746,TRUE,"https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc",FALSE,TRUE,"The Way Life Goes (feat. Oh Wonder)",79,"https://p.scdn.co/mp3-preview/565954d606afec2b069495428d6f252a38433759?cid=2c522ebeb84f4aa189ec93288a41d97f",5,"track","spotify:track:2eAZfqOm4EnOF9VvN50Tyc","album","https://api.spotify.com/v1/albums/733e1ZfktLSwj96X5rsMeE","733e1ZfktLSwj96X5rsMeE","Luv Is Rage 2","2017-08-25","day",16,"album","spotify:album:733e1ZfktLSwj96X5rsMeE","https://open.spotify.com/album/733e1ZfktLSwj96X5rsMeE","USAT21703429","https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc","rap",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,"audio_features","spotify:track:2eAZfqOm4EnOF9VvN50Tyc","https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc","https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc",221747,4,"rap",86
"60","2Fk0WwAqTBesLtKg97nojy",1,190733,FALSE,"https://api.spotify.com/v1/tracks/2Fk0WwAqTBesLtKg97nojy",FALSE,TRUE,"Crash and Burn",63,NA,2,"track","spotify:track:2Fk0WwAqTBesLtKg97nojy","album","https://api.spotify.com/v1/albums/4ykbJPI8MPscFzROE8dqLy","4ykbJPI8MPscFzROE8dqLy","Tangled Up","2015-01-01","day",13,"album","spotify:album:4ykbJPI8MPscFzROE8dqLy","https://open.spotify.com/album/4ykbJPI8MPscFzROE8dqLy","USLXJ1507175","https://open.spotify.com/track/2Fk0WwAqTBesLtKg97nojy","country",0.69,0.781,5,-5.101,0,0.0305,0.0873,2.28e-06,0.164,0.841,130.02,"audio_features","spotify:track:2Fk0WwAqTBesLtKg97nojy","https://api.spotify.com/v1/tracks/2Fk0WwAqTBesLtKg97nojy","https://api.spotify.com/v1/audio-analysis/2Fk0WwAqTBesLtKg97nojy",190733,4,"country",73
"61","2fmHMSaIadDzLPT4Im3Mze",1,241786,FALSE,"https://api.spotify.com/v1/tracks/2fmHMSaIadDzLPT4Im3Mze",FALSE,TRUE,"Tequila Does",60,"https://p.scdn.co/mp3-preview/1d86fd9a42ecb9e983e741684a92b4a849a02523?cid=2c522ebeb84f4aa189ec93288a41d97f",12,"track","spotify:track:2fmHMSaIadDzLPT4Im3Mze","album","https://api.spotify.com/v1/albums/5Or2XM0Gjy6Y8qlaERqsSn","5Or2XM0Gjy6Y8qlaERqsSn","Wildcard","2019-11-01","day",14,"album","spotify:album:5Or2XM0Gjy6Y8qlaERqsSn","https://open.spotify.com/album/5Or2XM0Gjy6Y8qlaERqsSn","US6XF1800268","https://open.spotify.com/track/2fmHMSaIadDzLPT4Im3Mze","country",0.506,0.421,0,-6.967,1,0.0353,0.159,2.65e-06,0.105,0.411,113.777,"audio_features","spotify:track:2fmHMSaIadDzLPT4Im3Mze","https://api.spotify.com/v1/tracks/2fmHMSaIadDzLPT4Im3Mze","https://api.spotify.com/v1/audio-analysis/2fmHMSaIadDzLPT4Im3Mze",241787,3,"country",72
"62","2g3vpJiqwswGJbUOSkCWqC",1,174680,FALSE,"https://api.spotify.com/v1/tracks/2g3vpJiqwswGJbUOSkCWqC",FALSE,TRUE,"Dance Her Home",65,"https://p.scdn.co/mp3-preview/7e9d88eb41737026baa55a40ba724b76cd5b5c18?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:2g3vpJiqwswGJbUOSkCWqC","album","https://api.spotify.com/v1/albums/0JKpAxkMB9RxA4EqqhLhLj","0JKpAxkMB9RxA4EqqhLhLj","Cowboy Like Me","2014-01-14","day",13,"album","spotify:album:0JKpAxkMB9RxA4EqqhLhLj","https://open.spotify.com/album/0JKpAxkMB9RxA4EqqhLhLj","QMCQK1300001","https://open.spotify.com/track/2g3vpJiqwswGJbUOSkCWqC","country",0.674,0.892,0,-3.771,1,0.0293,0.205,0,0.694,0.889,114.048,"audio_features","spotify:track:2g3vpJiqwswGJbUOSkCWqC","https://api.spotify.com/v1/tracks/2g3vpJiqwswGJbUOSkCWqC","https://api.spotify.com/v1/audio-analysis/2g3vpJiqwswGJbUOSkCWqC",174680,4,"country",73
