"","disc_number","duration_ms","explicit","href","id","is_local","is_playable","name","popularity","preview_url","track_number","type","uri","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","genre","country","restrictions.reason"
"983",1,169999,TRUE,"https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX","5wujBwqG7INdStqGd4tRMX",FALSE,TRUE,"Armed And Dangerous",77,NA,5,"track","spotify:track:5wujBwqG7INdStqGd4tRMX","album","https://api.spotify.com/v1/albums/6tkjU4Umpo79wwkgPMV3nZ","6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","2018-12-10","day",17,"album","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ","USUG11802039","https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX","rap","GH",NA
"984",1,290320,TRUE,"https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk","7lQ8MOhq6IN2w8EYcFNSUk",FALSE,TRUE,"Without Me",86,NA,10,"track","spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","album","https://api.spotify.com/v1/albums/2cWBwpqMsDJC1ZUwz813lo","2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","2002-05-26","day",20,"album","spotify:album:2cWBwpqMsDJC1ZUwz813lo","https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo","USIR10211038","https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk","rap","GH",NA
"985",1,284200,TRUE,"https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR","3yfqSUWxFvZELEM4PmlwIR",FALSE,TRUE,"The Real Slim Shady",85,NA,8,"track","spotify:track:3yfqSUWxFvZELEM4PmlwIR","album","https://api.spotify.com/v1/albums/6t7956yu5zYf5A829XRiHC","6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","2000-05-23","day",18,"album","spotify:album:6t7956yu5zYf5A829XRiHC","https://open.spotify.com/album/6t7956yu5zYf5A829XRiHC","USIR10000448","https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR","rap","GH",NA
"986",1,297786,TRUE,"https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS","4xkOaSrkexMciUUogZKVTS",FALSE,TRUE,"'Till I Collapse",84,NA,18,"track","spotify:track:4xkOaSrkexMciUUogZKVTS","album","https://api.spotify.com/v1/albums/2cWBwpqMsDJC1ZUwz813lo","2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","2002-05-26","day",20,"album","spotify:album:2cWBwpqMsDJC1ZUwz813lo","https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo","USIR10211066","https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS","rap","GH",NA
"987",1,210800,TRUE,"https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ","7FIWs0pqAYbP91WWM0vlTQ",FALSE,TRUE,"Godzilla (feat. Juice WRLD)",83,NA,7,"track","spotify:track:7FIWs0pqAYbP91WWM0vlTQ","album","https://api.spotify.com/v1/albums/4otkd9As6YaxxEkIjXPiZ6","4otkd9As6YaxxEkIjXPiZ6","Music To Be Murdered By","2020-01-17","day",20,"album","spotify:album:4otkd9As6YaxxEkIjXPiZ6","https://open.spotify.com/album/4otkd9As6YaxxEkIjXPiZ6","USUM72000788","https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ","rap","GH",NA
"988",1,404106,TRUE,"https://api.spotify.com/v1/tracks/3UmaczJpikHgJFyBTAJVoz","3UmaczJpikHgJFyBTAJVoz",FALSE,TRUE,"Stan",82,NA,3,"track","spotify:track:3UmaczJpikHgJFyBTAJVoz","album","https://api.spotify.com/v1/albums/6t7956yu5zYf5A829XRiHC","6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","2000-05-23","day",18,"album","spotify:album:6t7956yu5zYf5A829XRiHC","https://open.spotify.com/album/6t7956yu5zYf5A829XRiHC","USIR10001280","https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz","rap","GH",NA
"989",1,263373,TRUE,"https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED","15JINEqzVMv3SvJTAXAKED",FALSE,TRUE,"Love The Way You Lie",80,NA,15,"track","spotify:track:15JINEqzVMv3SvJTAXAKED","album","https://api.spotify.com/v1/albums/47BiFcV59TQi2s9SkBo2pb","47BiFcV59TQi2s9SkBo2pb","Recovery","2010-06-18","day",17,"album","spotify:album:47BiFcV59TQi2s9SkBo2pb","https://open.spotify.com/album/47BiFcV59TQi2s9SkBo2pb","USUM71015397","https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED","rap","GH",NA
"990",1,248133,TRUE,"https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus","7Ie9W94M7OjPoZVV216Xus",FALSE,TRUE,"Not Afraid",78,NA,7,"track","spotify:track:7Ie9W94M7OjPoZVV216Xus","album","https://api.spotify.com/v1/albums/47BiFcV59TQi2s9SkBo2pb","47BiFcV59TQi2s9SkBo2pb","Recovery","2010-06-18","day",17,"album","spotify:album:47BiFcV59TQi2s9SkBo2pb","https://open.spotify.com/album/47BiFcV59TQi2s9SkBo2pb","USUM71011769","https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus","rap","GH",NA
"991",1,250760,TRUE,"https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s","561jH07mF1jHuk7KlaeF0s",FALSE,TRUE,"Mockingbird",76,NA,16,"track","spotify:track:561jH07mF1jHuk7KlaeF0s","album","https://api.spotify.com/v1/albums/1kTlYbs28MXw7hwO0NLYif","1kTlYbs28MXw7hwO0NLYif","Encore (Deluxe Version)","2004-11-12","day",23,"album","spotify:album:1kTlYbs28MXw7hwO0NLYif","https://open.spotify.com/album/1kTlYbs28MXw7hwO0NLYif","USIR10400813","https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s","rap","GH",NA
"992",1,363521,TRUE,"https://api.spotify.com/v1/tracks/6or1bKJiZ06IlK0vFvY75k","6or1bKJiZ06IlK0vFvY75k",FALSE,TRUE,"Rap God",76,NA,9,"track","spotify:track:6or1bKJiZ06IlK0vFvY75k","album","https://api.spotify.com/v1/albums/6DN7GcZF1HywzrkGN6Eeqk","6DN7GcZF1HywzrkGN6Eeqk","The Marshall Mathers LP2 (Deluxe)","2013-11-05","day",21,"album","spotify:album:6DN7GcZF1HywzrkGN6Eeqk","https://open.spotify.com/album/6DN7GcZF1HywzrkGN6Eeqk","USUM71314079","https://open.spotify.com/track/6or1bKJiZ06IlK0vFvY75k","rap","GH",NA
"993",1,326466,TRUE,"https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ","5Z01UMMf7V1o0MzF86s6WJ",FALSE,TRUE,"Lose Yourself - From ""8 Mile"" Soundtrack",75,NA,6,"track","spotify:track:5Z01UMMf7V1o0MzF86s6WJ","compilation","https://api.spotify.com/v1/albums/5qENHeCSlwWpEzb25peRmQ","5qENHeCSlwWpEzb25peRmQ","Curtain Call: The Hits (Deluxe Edition)","2005-12-06","day",24,"album","spotify:album:5qENHeCSlwWpEzb25peRmQ","https://open.spotify.com/album/5qENHeCSlwWpEzb25peRmQ","USIR10211559","https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ","rap","GH",NA
